epochs steps out_loss offset_loss train_accuracy time
4 35 1.463 3.365 0.619 96.083
4 36 1.641 3.295 0.562 96.266
4 37 1.426 3.312 0.610 96.478
4 38 1.677 3.391 0.539 96.664
4 39 1.120 3.273 0.721 96.846
4 40 1.635 3.413 0.621 97.023
4 41 1.558 3.491 0.623 97.219
4 42 1.594 3.856 0.629 97.394
4 43 1.759 3.361 0.656 97.602
4 44 1.321 3.330 0.639 97.812
4 45 1.795 3.765 0.553 98.027
4 46 1.389 3.408 0.627 98.211
4 47 1.400 3.367 0.638 98.409
4 48 0.947 3.283 0.795 98.590
4 49 1.087 3.358 0.761 98.803
5 0 1.606 3.436 0.717 109.319
5 1 1.515 3.263 0.638 109.517
5 2 1.643 3.451 0.596 110.049
5 3 1.725 3.812 0.567 110.253
5 4 1.706 3.568 0.507 110.448
5 5 1.383 3.289 0.651 110.647
5 6 1.415 3.310 0.696 110.893
5 7 1.363 3.399 0.665 111.118
5 8 1.610 3.355 0.626 111.348
5 9 1.194 3.157 0.715 111.584
5 10 2.272 3.440 0.504 111.845
5 11 1.444 3.141 0.597 112.068
5 12 1.437 3.584 0.582 112.295
5 13 1.441 3.226 0.595 112.485
5 14 1.691 3.410 0.586 112.831
5 15 1.329 3.123 0.649 113.050
5 16 1.244 3.264 0.723 113.286
5 17 1.538 3.477 0.614 113.482
5 18 1.638 3.418 0.548 113.716
5 19 1.510 3.676 0.559 113.917
5 20 1.512 3.424 0.650 114.111
5 21 1.331 3.228 0.654 114.335
5 22 1.427 3.111 0.583 114.560
5 23 1.325 3.207 0.599 114.781
5 24 1.174 3.273 0.665 114.998
5 25 1.751 3.218 0.476 115.247
5 26 1.454 3.091 0.532 115.492
5 27 0.956 3.015 0.838 115.712
5 28 1.139 3.145 0.679 115.919
5 29 1.009 3.145 0.790 116.171
5 30 1.437 3.110 0.604 116.375
5 31 1.039 3.142 0.744 116.559
5 32 1.311 3.161 0.705 116.759
5 33 1.720 3.371 0.512 116.948
5 34 1.442 3.232 0.568 117.132
5 35 1.688 3.236 0.566 117.361
5 36 1.129 3.476 0.688 117.568
5 37 1.774 3.299 0.582 117.745
5 38 1.522 3.135 0.705 117.940
5 39 1.199 3.271 0.670 118.153
5 40 1.458 3.045 0.615 118.334
5 41 1.723 3.284 0.482 118.525
5 42 1.179 2.919 0.708 118.716
5 43 1.642 3.216 0.539 118.926
5 44 1.710 3.291 0.532 119.121
5 45 1.308 3.232 0.672 119.305
5 46 1.189 2.946 0.695 119.497
5 47 2.426 3.252 0.512 119.686
5 48 1.868 3.094 0.637 119.894
5 49 1.713 3.392 0.467 120.097
6 0 1.819 3.433 0.528 131.157
6 1 1.263 3.038 0.663 131.371
6 2 1.229 3.485 0.636 131.560
6 3 0.929 3.239 0.796 131.865
6 4 1.996 3.275 0.423 132.080
6 5 1.768 3.248 0.517 132.361
6 6 0.819 2.981 0.827 132.580
6 7 1.210 3.110 0.669 132.846
6 8 1.556 3.135 0.539 133.173
6 9 1.618 3.205 0.550 133.387
6 10 1.705 3.093 0.601 133.591
6 11 1.122 3.137 0.676 133.837
6 12 1.949 3.515 0.476 134.037
6 13 1.370 2.927 0.713 134.228
6 14 1.773 3.005 0.753 134.464
6 15 1.569 2.925 0.598 134.676
6 16 1.325 3.245 0.656 134.897
6 17 1.344 3.174 0.610 135.112
6 18 1.096 3.096 0.735 135.337
6 19 1.566 3.370 0.611 135.551
6 20 1.619 3.242 0.577 135.737
6 21 1.309 3.167 0.724 135.944
6 22 1.275 2.931 0.657 136.195
6 23 1.416 3.139 0.654 136.445
6 24 1.594 3.115 0.536 136.651
6 25 1.574 3.162 0.669 136.861
6 26 1.432 2.964 0.579 137.080
6 27 0.921 3.027 0.794 137.284
6 28 1.267 3.131 0.718 137.491
6 29 1.576 2.956 0.632 137.699
6 30 1.475 3.027 0.608 137.896
6 31 1.512 3.118 0.579 138.136
6 32 1.544 3.003 0.544 138.355
6 33 1.444 3.080 0.612 138.555
6 34 1.542 3.188 0.573 138.752
6 35 1.386 3.172 0.626 138.928
6 36 1.462 2.931 0.664 139.129
6 37 1.273 3.019 0.662 139.314
6 38 1.256 3.065 0.729 139.504
6 39 1.235 2.895 0.710 139.704
6 40 1.336 3.103 0.628 139.928
6 41 1.574 2.923 0.659 140.120
6 42 1.367 3.139 0.567 140.309
6 43 1.631 2.898 0.505 140.515
6 44 1.599 3.172 0.523 140.703
6 45 1.355 2.986 0.645 140.880
6 46 1.671 3.115 0.469 141.075
6 47 1.817 3.102 0.447 141.268
6 48 1.327 2.818 0.528 141.462
6 49 1.745 3.224 0.555 141.666
7 0 1.271 2.841 0.612 154.000
7 1 1.479 3.256 0.524 154.204
7 2 1.380 3.192 0.632 154.443
