epochs steps out_loss offset_loss train_accuracy time
5 28 1.266 3.167 0.686 125.663
5 29 1.639 3.170 0.548 125.896
5 30 1.495 3.036 0.607 126.141
5 31 1.696 3.076 0.721 126.351
5 32 1.334 3.116 0.646 126.575
5 33 1.664 3.231 0.529 126.786
5 34 1.550 3.212 0.642 126.994
5 35 1.518 3.407 0.598 127.258
5 36 1.571 3.266 0.613 127.453
5 37 1.308 2.936 0.633 127.664
5 38 1.298 3.004 0.647 127.869
5 39 1.351 3.063 0.581 128.080
5 40 1.046 3.140 0.676 128.283
5 41 1.296 3.237 0.669 128.506
5 42 1.123 3.099 0.724 128.716
5 43 1.556 3.310 0.555 128.997
5 44 1.165 3.063 0.715 129.190
5 45 1.570 3.055 0.569 129.398
5 46 1.486 3.205 0.545 129.699
5 47 1.512 3.242 0.543 129.885
5 48 1.773 3.201 0.557 130.083
5 49 1.964 3.306 0.484 130.282
6 0 1.492 3.223 0.573 141.983
6 1 1.157 3.077 0.674 142.226
6 2 1.200 3.510 0.633 142.454
6 3 1.123 3.261 0.727 142.665
6 4 1.635 3.617 0.520 142.886
6 5 1.090 3.157 0.678 143.112
6 6 1.607 3.462 0.501 143.334
6 7 1.414 3.147 0.582 143.539
6 8 1.335 3.121 0.586 143.766
6 9 1.608 3.333 0.609 143.980
6 10 1.537 3.280 0.561 144.183
6 11 1.300 3.138 0.664 144.404
6 12 1.691 3.113 0.564 144.673
6 13 1.567 3.076 0.594 144.892
6 14 1.251 3.195 0.654 145.100
6 15 1.971 3.198 0.527 145.294
6 16 1.399 3.199 0.609 145.512
6 17 1.705 3.140 0.521 145.714
6 18 1.183 3.063 0.712 145.926
6 19 1.199 2.957 0.669 146.157
6 20 1.454 3.066 0.575 146.376
6 21 1.143 3.040 0.627 146.603
6 22 1.742 2.870 0.643 146.831
6 23 1.345 2.882 0.590 147.058
6 24 1.033 2.974 0.710 147.318
6 25 1.588 3.153 0.623 147.523
6 26 2.037 3.254 0.471 147.749
6 27 1.485 2.985 0.569 147.956
6 28 1.298 3.327 0.575 148.162
6 29 1.442 2.931 0.555 148.379
6 30 1.655 3.187 0.613 148.610
6 31 1.466 3.237 0.685 148.830
6 32 1.662 3.143 0.578 149.030
6 33 1.317 2.927 0.634 149.234
6 34 1.059 3.121 0.702 149.439
6 35 1.536 3.440 0.526 149.687
6 36 1.923 3.304 0.478 149.881
6 37 1.766 3.069 0.556 150.084
6 38 1.839 3.280 0.436 150.295
6 39 1.534 3.416 0.568 150.503
6 40 1.570 3.047 0.686 150.705
6 41 1.467 2.954 0.740 150.918
6 42 1.040 3.071 0.699 151.115
6 43 1.672 3.116 0.553 151.308
6 44 1.517 3.052 0.485 151.508
6 45 1.201 3.089 0.722 151.704
6 46 1.322 3.107 0.637 151.905
6 47 1.358 3.009 0.668 152.119
6 48 1.282 2.938 0.688 152.329
6 49 1.479 3.331 0.541 152.517
7 0 1.723 3.025 0.544 162.754
7 1 1.578 2.930 0.623 162.982
7 2 1.451 2.889 0.638 163.234
7 3 1.316 3.125 0.638 163.559
7 4 1.298 2.949 0.562 163.759
7 5 1.711 3.061 0.562 163.973
7 6 1.454 3.046 0.580 164.283
7 7 1.131 2.829 0.626 164.670
7 8 1.194 2.915 0.705 164.926
7 9 2.085 3.252 0.426 165.151
7 10 1.353 2.959 0.584 165.363
7 11 1.433 2.898 0.567 165.616
7 12 1.735 2.961 0.568 165.837
7 13 1.640 3.019 0.490 166.082
7 14 1.568 2.944 0.702 166.365
7 15 1.431 2.953 0.633 166.660
7 16 1.307 2.902 0.654 166.931
7 17 1.358 2.959 0.727 167.159
7 18 1.325 2.821 0.685 167.367
7 19 1.553 2.960 0.626 167.577
7 20 1.351 3.135 0.629 167.796
7 21 1.557 2.966 0.546 168.005
7 22 1.530 3.021 0.606 168.238
7 23 1.339 2.826 0.627 168.507
7 24 1.603 3.029 0.520 168.763
7 25 1.425 2.926 0.703 169.062
7 26 1.081 3.010 0.784 169.316
7 27 1.306 2.818 0.689 169.654
7 28 1.641 2.798 0.571 169.886
7 29 1.590 2.947 0.557 170.190
7 30 1.246 3.049 0.709 170.446
7 31 1.330 2.876 0.700 170.709
7 32 1.377 3.000 0.649 170.964
7 33 1.235 3.018 0.686 171.203
7 34 1.474 3.001 0.612 171.457
7 35 1.172 2.849 0.678 171.730
7 36 1.398 2.968 0.593 171.991
7 37 1.378 3.025 0.587 172.209
7 38 1.312 2.886 0.631 172.441
7 39 1.554 3.069 0.594 172.695
7 40 1.664 3.174 0.583 172.958
7 41 1.022 2.790 0.759 173.171
7 42 1.370 2.991 0.593 173.401
7 43 1.334 2.851 0.646 173.654
7 44 1.881 2.980 0.565 173.934
7 45 1.425 2.868 0.596 174.201
7 46 1.500 2.972 0.603 174.487
7 47 1.602 2.909 0.652 174.753
