epochs steps out_loss offset_loss train_accuracy time
5 37 1.051 3.134 0.684 117.123
5 38 1.251 3.179 0.571 117.369
5 39 0.992 3.062 0.683 117.598
5 40 1.042 3.053 0.668 117.813
5 41 0.908 2.901 0.700 118.051
5 42 1.173 3.073 0.640 118.253
5 43 1.111 3.031 0.636 118.466
5 44 0.904 3.051 0.711 118.676
5 45 1.252 3.166 0.635 118.888
5 46 0.983 3.109 0.729 119.100
5 47 1.056 3.164 0.713 119.298
5 48 1.131 2.920 0.660 119.540
5 49 1.206 2.809 0.597 119.769
6 0 1.071 3.034 0.635 128.923
6 1 1.142 3.070 0.609 129.149
6 2 1.255 3.160 0.580 129.364
6 3 0.913 3.046 0.675 129.636
6 4 1.026 3.165 0.659 129.877
6 5 1.046 3.221 0.652 130.121
6 6 1.310 3.282 0.572 130.387
6 7 1.132 3.234 0.643 130.713
6 8 1.240 3.054 0.538 130.935
6 9 0.968 3.261 0.710 131.211
6 10 0.985 3.340 0.691 131.516
6 11 1.168 2.939 0.662 131.750
6 12 0.910 2.953 0.718 132.013
6 13 0.900 2.813 0.720 132.233
6 14 1.256 3.115 0.599 132.439
6 15 0.920 2.821 0.690 132.701
6 16 0.893 3.168 0.745 132.948
6 17 0.980 2.988 0.716 133.250
6 18 1.349 3.238 0.616 133.449
6 19 1.801 3.012 0.424 133.685
6 20 1.431 3.213 0.531 133.901
6 21 1.567 3.363 0.467 134.144
6 22 1.490 3.106 0.544 134.432
6 23 1.139 3.064 0.638 134.643
6 24 1.094 3.066 0.654 134.858
6 25 1.415 3.408 0.575 135.075
6 26 0.861 2.987 0.749 135.304
6 27 0.949 2.978 0.643 135.518
6 28 1.161 2.995 0.665 135.750
6 29 0.824 3.025 0.709 136.021
6 30 1.124 3.236 0.605 136.264
6 31 1.082 3.137 0.694 136.483
6 32 1.299 3.201 0.530 136.704
6 33 1.107 3.109 0.697 136.932
6 34 1.038 3.070 0.658 137.137
6 35 1.151 3.167 0.689 137.358
6 36 1.169 2.950 0.611 137.552
6 37 0.874 2.876 0.741 137.762
6 38 1.558 3.093 0.483 137.968
6 39 1.290 3.061 0.583 138.174
6 40 1.047 2.977 0.688 138.380
6 41 1.313 3.065 0.569 138.567
6 42 1.304 3.172 0.601 138.774
6 43 1.362 3.150 0.518 138.975
6 44 1.230 2.873 0.599 139.179
6 45 1.058 2.821 0.698 139.388
6 46 1.339 3.043 0.570 139.599
6 47 1.082 3.014 0.720 139.807
6 48 0.965 2.986 0.700 140.012
6 49 1.027 3.070 0.704 140.218
7 0 0.851 2.942 0.742 150.102
7 1 1.334 3.209 0.590 150.418
7 2 0.953 2.999 0.694 150.685
7 3 1.052 3.065 0.650 150.912
7 4 1.074 3.135 0.652 151.124
7 5 0.954 3.103 0.689 151.389
7 6 0.809 2.689 0.731 151.657
7 7 0.922 2.926 0.695 151.892
7 8 0.871 2.960 0.726 152.103
7 9 0.782 3.036 0.752 152.324
7 10 0.897 3.190 0.680 152.526
7 11 1.474 2.980 0.531 152.778
7 12 1.339 2.919 0.588 153.047
7 13 1.113 3.087 0.642 153.276
7 14 1.391 3.160 0.612 153.482
7 15 1.415 3.168 0.594 153.685
7 16 1.024 3.031 0.684 153.890
7 17 0.976 3.001 0.637 154.130
7 18 1.378 3.040 0.575 154.353
7 19 1.317 3.066 0.673 154.585
7 20 1.031 2.851 0.698 154.816
7 21 1.250 3.026 0.571 155.043
7 22 1.528 2.956 0.551 155.263
7 23 1.288 3.112 0.568 155.481
7 24 0.844 3.102 0.723 155.696
